paper_id,title,year,venue,topic,category,matched_keyword,period
pacmmod_2023_0001,A Framework for Privacy Preserving Localized Graph Pattern Query Processing.,2023,PACMMOD,Query Optimization,Query Processing,query processing,2020-2024
pacmmod_2023_0001,A Framework for Privacy Preserving Localized Graph Pattern Query Processing.,2023,PACMMOD,Graph Data,Data Models,graph,2020-2024
pacmmod_2023_0001,A Framework for Privacy Preserving Localized Graph Pattern Query Processing.,2023,PACMMOD,Privacy / Security,Trust,privacy,2020-2024
pacmmod_2023_0002,A Learned Cuckoo Filter for Approximate Membership Queries over Variable-sized Sliding Windows on Data Streams.,2023,PACMMOD,Streaming,Data Processing,stream,2020-2024
pacmmod_2023_0002,A Learned Cuckoo Filter for Approximate Membership Queries over Variable-sized Sliding Windows on Data Streams.,2023,PACMMOD,ML for DB,AI for Data Systems,learned,2020-2024
pacmmod_2023_0003,A Neural Approach to Spatio-Temporal Data Release with User-Level Differential Privacy.,2023,PACMMOD,ML for DB,AI for Data Systems,neural,2020-2024
pacmmod_2023_0003,A Neural Approach to Spatio-Temporal Data Release with User-Level Differential Privacy.,2023,PACMMOD,Privacy / Security,Trust,privacy,2020-2024
pacmmod_2023_0003,A Neural Approach to Spatio-Temporal Data Release with User-Level Differential Privacy.,2023,PACMMOD,Spatial / Temporal,Specialized Data,spatio-temporal,2020-2024
pacmmod_2023_0004,A New Sparse Data Clustering Method Based On Frequent Items.,2023,PACMMOD,ML for DB,AI for Data Systems,clustering,2020-2024
pacmmod_2023_0007,ADGNN: Towards Scalable GNN Training with Aggregation-Difference Aware Sampling.,2023,PACMMOD,ML for DB,AI for Data Systems,sampling,2020-2024
pacmmod_2023_0011,AirIndex: Versatile Index Tuning Through Data and Storage.,2023,PACMMOD,Indexing,Storage & Access,index,2020-2024
pacmmod_2023_0012,An Efficient Algorithm for Distance-based Structural Graph Clustering.,2023,PACMMOD,Graph Data,Data Models,graph,2020-2024
pacmmod_2023_0012,An Efficient Algorithm for Distance-based Structural Graph Clustering.,2023,PACMMOD,ML for DB,AI for Data Systems,clustering,2020-2024
pacmmod_2023_0013,Anchor: A Library for Building Secure Persistent Memory Systems.,2023,PACMMOD,Indexing,Storage & Access,persistent memory,2020-2024
pacmmod_2023_0014,Apache IoTDB: A Time Series Database for IoT Applications.,2023,PACMMOD,Spatial / Temporal,Specialized Data,time series,2020-2024
