paper_id,title,year,venue,authors,dblp_url,doi
pacmmod_2023_0001,A Framework for Privacy Preserving Localized Graph Pattern Query Processing.,2023,PACMMOD,Lyu Xu; Byron Choi; Yun Peng 0002; Jianliang Xu; Sourav S. Bhowmick,https://dblp.org/rec/journals/pacmmod/XuCPXB23,10.1145/3589274
pacmmod_2023_0002,A Learned Cuckoo Filter for Approximate Membership Queries over Variable-sized Sliding Windows on Data Streams.,2023,PACMMOD,Yao Tian; Tingyun Yan; Ruiyuan Zhang; Kai Huang 0011; Bolong Zheng; Xiaofang Zhou 0001,https://dblp.org/rec/journals/pacmmod/TianYZHZZ23,10.1145/3626758
pacmmod_2023_0003,A Neural Approach to Spatio-Temporal Data Release with User-Level Differential Privacy.,2023,PACMMOD,Ritesh Ahuja; Sepanta Zeighami; Gabriel Ghinita; Cyrus Shahabi,https://dblp.org/rec/journals/pacmmod/AhujaZGS23,10.1145/3588701
pacmmod_2023_0004,A New Sparse Data Clustering Method Based On Frequent Items.,2023,PACMMOD,Qiang Huang; Pingyi Luo; Anthony K. H. Tung,https://dblp.org/rec/journals/pacmmod/HuangLT23,10.1145/3588685
pacmmod_2023_0005,A Unified Approach for Resilience and Causal Responsibility with Integer Linear Programming (ILP) and LP Relaxations.,2023,PACMMOD,Neha Makhija; Wolfgang Gatterbauer,https://dblp.org/rec/journals/pacmmod/MakhijaG23,10.1145/3626715
pacmmod_2023_0006,A Unified and Efficient Coordinating Framework for Autonomous DBMS Tuning.,2023,PACMMOD,Xinyi Zhang 0002; Zhuo Chang; Hong Wu; Yang Li 0106; Jia Chen 0030; Jian Tan 0001; Feifei Li 0001; Bin Cui 0001,https://dblp.org/rec/journals/pacmmod/ZhangCWLCTL023,10.1145/3589331
pacmmod_2023_0007,ADGNN: Towards Scalable GNN Training with Aggregation-Difference Aware Sampling.,2023,PACMMOD,Zhen Song; Yu Gu 0002; Tianyi Li 0005; Qing Sun; Yanfeng Zhang 0001; Christian S. Jensen; Ge Yu 0001,https://dblp.org/rec/journals/pacmmod/SongGLSZJY23,10.1145/3626716
pacmmod_2023_0008,ALP: Adaptive Lossless floating-Point Compression.,2023,PACMMOD,Azim Afroozeh; Leonardo Kuff; Peter Boncz,https://dblp.org/rec/journals/pacmmod/AfroozehKB23,10.1145/3626717
pacmmod_2023_0009,AS-Parser: Log Parsing Based on Adaptive Segmentation.,2023,PACMMOD,Xiaolei Chen 0001; Peng Wang 0027; Jia Chen 0037; Wei Wang 0009,https://dblp.org/rec/journals/pacmmod/ChenWCW23,10.1145/3626719
pacmmod_2023_0010,"AWARE: Workload-aware, Redundancy-exploiting Linear Algebra.",2023,PACMMOD,Sebastian Baunsgaard; Matthias Boehm 0001,https://dblp.org/rec/journals/pacmmod/Baunsgaard023,10.1145/3588682
pacmmod_2023_0011,AirIndex: Versatile Index Tuning Through Data and Storage.,2023,PACMMOD,Supawit Chockchowwat; Wenjie Liu 0007; Yongjoo Park,https://dblp.org/rec/journals/pacmmod/ChockchowwatLP23,10.1145/3617308
pacmmod_2023_0012,An Efficient Algorithm for Distance-based Structural Graph Clustering.,2023,PACMMOD,Kaixin Liu; Sibo Wang 0001; Yong Zhang 0002; Chunxiao Xing,https://dblp.org/rec/journals/pacmmod/Liu0ZX23,10.1145/3588725
pacmmod_2023_0013,Anchor: A Library for Building Secure Persistent Memory Systems.,2023,PACMMOD,Dimitrios Stavrakakis; Dimitra Giantsidi; Maurice Bailleu; Philip Sndig; Shady Issa; Pramod Bhatotia,https://dblp.org/rec/journals/pacmmod/StavrakakisGBSIB23,10.1145/3626718
pacmmod_2023_0014,Apache IoTDB: A Time Series Database for IoT Applications.,2023,PACMMOD,Chen Wang 0018; Jialin Qiao; Xiangdong Huang 0001; Shaoxu Song; Haonan Hou; Tian Jiang; Lei Rui; Jianmin Wang 0001; Jiaguang Sun 0001,https://dblp.org/rec/journals/pacmmod/0018QHSHJR0023,10.1145/3589775
pacmmod_2023_0015,AutoOD: Automatic Outlier Detection.,2023,PACMMOD,Lei Cao 0004; Yizhou Yan; Yu Wang 0170; Samuel Madden 0001; Elke A. Rundensteiner,https://dblp.org/rec/journals/pacmmod/0004YWMR23,10.1145/3588700
pacmmod_2023_0016,Automating and Optimizing Data-Centric What-If Analyses on Native Machine Learning Pipelines.,2023,PACMMOD,Stefan Grafberger; Paul Groth; Sebastian Schelter,https://dblp.org/rec/journals/pacmmod/GrafbergerGS23,10.1145/3589273
pacmmod_2023_0017,BALANCE: Bayesian Linear Attribution for Root Cause Localization.,2023,PACMMOD,Chaoyu Chen; Hang Yu 0002; Zhichao Lei; Jianguo Li; Shaokang Ren; Tingkai Zhang; Silin Hu; Jianchao Wang; Wenhui Shi,https://dblp.org/rec/journals/pacmmod/ChenYLLRZHWS23,10.1145/3588949
pacmmod_2023_0018,BladeDISC: Optimizing Dynamic Shape Machine Learning Workloads via Compiler Approach.,2023,PACMMOD,Zhen Zheng; Zaifeng Pan; Dalin Wang; Kai Zhu; Wenyi Zhao; Tianyou Guo; Xiafei Qiu; Minmin Sun; Junjie Bai; Feng Zhang 0007; Xiaoyong Du 0001; Jidong Zhai; Wei Lin 0016,https://dblp.org/rec/journals/pacmmod/ZhengPWZZGQSBZDZL23,10.1145/3617327
pacmmod_2023_0019,BtrBlocks: Efficient Columnar Compression for Data Lakes.,2023,PACMMOD,Maximilian Kuschewski; David Sauerwein; Adnan Alhomssi; Viktor Leis,https://dblp.org/rec/journals/pacmmod/KuschewskiSAL23,10.1145/3589263
pacmmod_2023_0020,Cackle: Analytical Workload Cost and Performance Stability With Elastic Pools.,2023,PACMMOD,Matthew Perron; Raul Castro Fernandez; David J. DeWitt; Michael J. Cafarella; Samuel Madden 0001,https://dblp.org/rec/journals/pacmmod/PerronFDCM23,10.1145/3626720
pacmmod_2023_0021,ChainKV: A Semantics-Aware Key-Value Store for Ethereum System.,2023,PACMMOD,Zehao Chen; Bingzhe Li; Xiaojun Cai; Zhiping Jia; Lei Ju 0001; Zili Shao; Zhaoyan Shen,https://dblp.org/rec/journals/pacmmod/ChenLCJJSS23,10.1145/3626713
pacmmod_2023_0022,ChainedFilter: Combining Membership Filters by Chain Rule.,2023,PACMMOD,Haoyu Li; Liuhui Wang; Qizhi Chen; Jianan Ji; Yuhan Wu 0001; Yikai Zhao 0001; Tong Yang 0003; Aditya Akella,https://dblp.org/rec/journals/pacmmod/LiWCJWZYA23,10.1145/3626721
pacmmod_2023_0023,Circinus: Fast Redundancy-Reduced Subgraph Matching.,2023,PACMMOD,Tatiana Jin; Boyang Li 0016; Yichao Li; Qihui Zhou; Qianli Ma 0003; Yunjian Zhao; Hongzhi Chen; James Cheng,https://dblp.org/rec/journals/pacmmod/Jin0LZMZCC23,10.1145/3588692
pacmmod_2023_0024,ClipSim: A GPU-friendly Parallel Framework for Single-Source SimRank with Accuracy Guarantee.,2023,PACMMOD,Tianhao Wu 0006; Ji Cheng 0002; Chaorui Zhang; Jianfeng Hou; Gengjian Chen; Zhongyi Huang; Weixi Zhang; Wei Han 0004; Bo Bai 0001,https://dblp.org/rec/journals/pacmmod/WuCZHCHZH023,10.1145/3588707
pacmmod_2023_0025,Closest Pairs Search Over Data Stream.,2023,PACMMOD,Rui Zhu 0003; Bin Wang 0015; Xiaochun Yang 0001; Baihua Zheng,https://dblp.org/rec/journals/pacmmod/ZhuWYZ23,10.1145/3617326
