paper_id,title,year,venue,topic,category,matched_keyword,period
neurips_2010_0001,(RF)^2 - Random Forest Random Field.,2010,NeurIPS,Classical Statistical ML,Core ML,random forest,2010-2014
neurips_2010_0004,A novel family of non-parametric cumulative based divergences for point processes.,2010,NeurIPS,Probabilistic Modeling,Core ML,point process,2010-2014
neurips_2010_0007,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference.,2010,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2010_0007,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference.,2010,NeurIPS,Probabilistic Modeling,Core ML,inference,2010-2014
neurips_2010_0007,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference.,2010,NeurIPS,"Causality, Dynamics & Scientific ML",Scientific ML,causal,2010-2014
neurips_2010_0008,Co-regularization Based Semi-supervised Domain Adaptation.,2010,NeurIPS,Classical Statistical ML,Core ML,semi-supervised,2010-2014
neurips_2010_0008,Co-regularization Based Semi-supervised Domain Adaptation.,2010,NeurIPS,Representation Learning,Foundation Learning,domain adaptation,2010-2014
neurips_2010_0009,Computing Marginal Distributions over Continuous Markov Networks for Statistical Relational Learning.,2010,NeurIPS,Probabilistic Modeling,Core ML,markov,2010-2014
neurips_2010_0011,Copula Bayesian Networks.,2010,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2010_0012,Discriminative Clustering by Regularized Information Maximization.,2010,NeurIPS,Classical Statistical ML,Core ML,clustering,2010-2014
neurips_2010_0013,Distributed Dual Averaging In Networks.,2010,NeurIPS,Federated & Distributed Learning,Systems for ML,distributed,2010-2014
neurips_2010_0016,Energy Disaggregation via Discriminative Sparse Coding.,2010,NeurIPS,Classical Statistical ML,Core ML,sparse,2010-2014
neurips_2010_0017,Exploiting weakly-labeled Web images to improve object classification: a domain adaptation approach.,2010,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2010_0017,Exploiting weakly-labeled Web images to improve object classification: a domain adaptation approach.,2010,NeurIPS,Representation Learning,Foundation Learning,domain adaptation,2010-2014
neurips_2010_0018,Extended Bayesian Information Criteria for Gaussian Graphical Models.,2010,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2010_0020,Feature Set Embedding for Incomplete Data.,2010,NeurIPS,Representation Learning,Foundation Learning,embedding,2010-2014
neurips_2010_0023,Global Analytic Solution for Variational Bayesian Matrix Factorization.,2010,NeurIPS,Classical Statistical ML,Core ML,matrix factorization,2010-2014
neurips_2010_0023,Global Analytic Solution for Variational Bayesian Matrix Factorization.,2010,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2010_0024,Graph-Valued Regression.,2010,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2010_0026,Identifying Patients at Risk of Major Adverse Cardiovascular Events Using Symbolic Mismatch.,2010,NeurIPS,"Biology, Molecules & Health",AI for Science,patient,2010-2014
neurips_2010_0027,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation.,2010,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2010_0027,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation.,2010,NeurIPS,Probabilistic Modeling,Core ML,gaussian process,2010-2014
neurips_2010_0027,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,pose estimation,2010-2014
neurips_2010_0028,Inference and communication in the game of Password.,2010,NeurIPS,Probabilistic Modeling,Core ML,inference,2010-2014
neurips_2010_0028,Inference and communication in the game of Password.,2010,NeurIPS,Games & Mechanism Design,Decision Making,game,2010-2014
neurips_2010_0028,Inference and communication in the game of Password.,2010,NeurIPS,Language Models & NLP,Generative AI,communication,2010-2014
neurips_2010_0029,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks.,2010,NeurIPS,Probabilistic Modeling,Core ML,bayesian,2010-2014
neurips_2010_0030,Interval Estimation for Reinforcement-Learning Algorithms in Continuous-State Domains.,2010,NeurIPS,Probabilistic Modeling,Core ML,estimation,2010-2014
neurips_2010_0031,"Layered image motion with explicit occlusions, temporal consistency, and depth ordering.",2010,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2010_0032,Learning Convolutional Feature Hierarchies for Visual Recognition.,2010,NeurIPS,Representation Learning,Foundation Learning,feature,2010-2014
neurips_2010_0032,Learning Convolutional Feature Hierarchies for Visual Recognition.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2010_0033,Learning invariant features using the Transformed Indian Buffet Process.,2010,NeurIPS,Representation Learning,Foundation Learning,features,2010-2014
neurips_2010_0034,Linear Complementarity for Regularized Policy Evaluation and Improvement.,2010,NeurIPS,Reinforcement Learning & Bandits,Decision Making,policy evaluation,2010-2014
neurips_2010_0036,Link Discovery using Graph Feature Tracking.,2010,NeurIPS,Representation Learning,Foundation Learning,feature,2010-2014
neurips_2010_0036,Link Discovery using Graph Feature Tracking.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,tracking,2010-2014
neurips_2010_0036,Link Discovery using Graph Feature Tracking.,2010,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2010_0037,New Adaptive Algorithms for Online Classification.,2010,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2010_0038,Occlusion Detection and Motion Estimation with Convex Optimization.,2010,NeurIPS,Probabilistic Modeling,Core ML,estimation,2010-2014
neurips_2010_0038,Occlusion Detection and Motion Estimation with Convex Optimization.,2010,NeurIPS,Optimization & Learning Theory,Core ML,optimization,2010-2014
neurips_2010_0039,Online Learning for Latent Dirichlet Allocation.,2010,NeurIPS,Optimization & Learning Theory,Core ML,online learning,2010-2014
neurips_2010_0039,Online Learning for Latent Dirichlet Allocation.,2010,NeurIPS,Representation Learning,Foundation Learning,latent,2010-2014
neurips_2010_0040,Optimal learning rates for Kernel Conjugate Gradient regression.,2010,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2010_0040,Optimal learning rates for Kernel Conjugate Gradient regression.,2010,NeurIPS,Optimization & Learning Theory,Core ML,optimal,2010-2014
neurips_2010_0041,Over-complete representations on recurrent neural networks can support persistent percepts.,2010,NeurIPS,Representation Learning,Foundation Learning,representations,2010-2014
neurips_2010_0041,Over-complete representations on recurrent neural networks can support persistent percepts.,2010,NeurIPS,Language Models & NLP,Generative AI,recurrent,2010-2014
neurips_2010_0042,Penalized Principal Component Regression on Graphs for Analysis of Subnetworks.,2010,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2010_0042,Penalized Principal Component Regression on Graphs for Analysis of Subnetworks.,2010,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2010_0043,Permutation Complexity Bound on Out-Sample Error.,2010,NeurIPS,Optimization & Learning Theory,Core ML,bounds,2010-2014
neurips_2010_0044,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression.,2010,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2010_0048,Relaxed Clipping: A Global Training Method for Robust Regression and Classification.,2010,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2010_0048,Relaxed Clipping: A Global Training Method for Robust Regression and Classification.,2010,NeurIPS,"Robustness, Privacy & Safety",Trustworthy AI,robust,2010-2014
neurips_2010_0049,Repeated Games against Budgeted Adversaries.,2010,NeurIPS,Games & Mechanism Design,Decision Making,games,2010-2014
neurips_2010_0050,Simultaneous Object Detection and Ranking with Weak Supervision.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,object detection,2010-2014
neurips_2010_0051,Size Matters: Metric Visual Search Constraints from Monocular Metadata.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2010_0053,Sparse Coding for Learning Interpretable Spatio-Temporal Primitives.,2010,NeurIPS,Classical Statistical ML,Core ML,sparse,2010-2014
neurips_2010_0053,Sparse Coding for Learning Interpretable Spatio-Temporal Primitives.,2010,NeurIPS,"Causality, Dynamics & Scientific ML",Scientific ML,spatio-temporal,2010-2014
neurips_2010_0054,Spatial and anatomical regularization of SVM for brain image analysis.,2010,NeurIPS,Optimization & Learning Theory,Core ML,regularization,2010-2014
neurips_2010_0054,Spatial and anatomical regularization of SVM for brain image analysis.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2010_0055,Sphere Embedding: An Application to Part-of-Speech Induction.,2010,NeurIPS,Representation Learning,Foundation Learning,embedding,2010-2014
neurips_2010_0057,Structural epitome: a way to summarize one's visual experience.,2010,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2010_0059,Switching state space model for simultaneously estimating state transitions and nonstationary firing rates.,2010,NeurIPS,"Causality, Dynamics & Scientific ML",Scientific ML,state space,2010-2014
neurips_2010_0061,Tight Sample Complexity of Large-Margin Learning.,2010,NeurIPS,Optimization & Learning Theory,Core ML,sample complexity,2010-2014
neurips_2010_0063,Variational bounds for mixed-data factor analysis.,2010,NeurIPS,Probabilistic Modeling,Core ML,variational,2010-2014
neurips_2010_0063,Variational bounds for mixed-data factor analysis.,2010,NeurIPS,Optimization & Learning Theory,Core ML,bounds,2010-2014
neurips_2011_0002,A Latent Feature Analysis of the Neural Representation of Conceptual Knowledge.,2011,NeurIPS,Representation Learning,Foundation Learning,representations,2010-2014
neurips_2011_0003,A New Feature Selection Method Based on Stability Theory - Exploring Parameters Space to Evaluate Classification Accuracy in Neuroimaging Data.,2011,NeurIPS,Classical Statistical ML,Core ML,classification,2010-2014
neurips_2011_0003,A New Feature Selection Method Based on Stability Theory - Exploring Parameters Space to Evaluate Classification Accuracy in Neuroimaging Data.,2011,NeurIPS,Representation Learning,Foundation Learning,feature,2010-2014
neurips_2011_0003,A New Feature Selection Method Based on Stability Theory - Exploring Parameters Space to Evaluate Classification Accuracy in Neuroimaging Data.,2011,NeurIPS,"Biology, Molecules & Health",AI for Science,neuroimaging,2010-2014
neurips_2011_0004,A blind sparse deconvolution method for neural spike identification.,2011,NeurIPS,Classical Statistical ML,Core ML,sparse,2010-2014
neurips_2011_0005,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity.,2011,NeurIPS,Optimization & Learning Theory,Core ML,optimal,2010-2014
neurips_2011_0011,Co-Training for Domain Adaptation.,2011,NeurIPS,Representation Learning,Foundation Learning,domain adaptation,2010-2014
neurips_2011_0012,Co-regularized Multi-view Spectral Clustering.,2011,NeurIPS,Classical Statistical ML,Core ML,clustering,2010-2014
neurips_2011_0013,Contextual Gaussian Process Bandit Optimization.,2011,NeurIPS,Probabilistic Modeling,Core ML,gaussian process,2010-2014
neurips_2011_0013,Contextual Gaussian Process Bandit Optimization.,2011,NeurIPS,Optimization & Learning Theory,Core ML,optimization,2010-2014
neurips_2011_0013,Contextual Gaussian Process Bandit Optimization.,2011,NeurIPS,Reinforcement Learning & Bandits,Decision Making,bandit,2010-2014
neurips_2011_0014,Continuous-Time Regression Models for Longitudinal Networks.,2011,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2011_0015,Data Skeletonization via Reeb Graphs.,2011,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2011_0016,Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators.,2011,NeurIPS,Representation Learning,Foundation Learning,embedding,2010-2014
neurips_2011_0016,Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators.,2011,NeurIPS,Graph Machine Learning,Structured Learning,graph,2010-2014
neurips_2011_0018,Expressive Power and Approximation Errors of Restricted Boltzmann Machines.,2011,NeurIPS,Optimization & Learning Theory,Core ML,approximation,2010-2014
neurips_2011_0020,Higher-Order Correlation Clustering for Image Segmentation.,2011,NeurIPS,Classical Statistical ML,Core ML,clustering,2010-2014
neurips_2011_0020,Higher-Order Correlation Clustering for Image Segmentation.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2011_0021,How Does the Brain Represent Visual Scenes? A Neuromagnetic Scene Categorization Study.,2011,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2011_0022,Improved Algorithms for Linear Stochastic Bandits.,2011,NeurIPS,Reinforcement Learning & Bandits,Decision Making,bandit,2010-2014
