paper_id,title,year,venue,authors,dblp_url,doi
neurips_2010_0001,(RF)^2 - Random Forest Random Field.,2010,NeurIPS,Nadia Payet; Sinisa Todorovic,https://dblp.org/rec/conf/nips/PayetT10,
neurips_2010_0002,A Computational Decision Theory for Interactive Assistants.,2010,NeurIPS,Alan Fern; Prasad Tadepalli,https://dblp.org/rec/conf/nips/FernT10,
neurips_2010_0003,A VLSI Implementation of the Adaptive Exponential Integrate-and-Fire Neuron Model.,2010,NeurIPS,Sebastian Millner; Andreas Grbl; Karlheinz Meier; Johannes Schemmel; Marc-Olivier Schwartz,https://dblp.org/rec/conf/nips/MillnerGMSS10,
neurips_2010_0004,A novel family of non-parametric cumulative based divergences for point processes.,2010,NeurIPS,Sohan Seth; Il Memming Park; Austin J. Brockmeier; Mulugeta Semework; John S. Choi; Joseph T. Francis; Jos Carlos Prncipe,https://dblp.org/rec/conf/nips/SethPBSCFP10,
neurips_2010_0005,Adaptive Multi-Task Lasso: with Application to eQTL Detection.,2010,NeurIPS,Seunghak Lee; Jun Zhu 0001; Eric P. Xing,https://dblp.org/rec/conf/nips/LeeZX10,
neurips_2010_0006,An Alternative to Low-level-Sychrony-Based Methods for Speech Detection.,2010,NeurIPS,Paul Ruvolo; Javier R. Movellan,https://dblp.org/rec/conf/nips/RuvoloM10,
neurips_2010_0007,Block Variable Selection in Multivariate Regression and High-dimensional Causal Inference.,2010,NeurIPS,Aurlie C. Lozano; Vikas Sindhwani,https://dblp.org/rec/conf/nips/LozanoS10,
neurips_2010_0008,Co-regularization Based Semi-supervised Domain Adaptation.,2010,NeurIPS,Hal Daum III; Abhishek Kumar 0001; Avishek Saha,https://dblp.org/rec/conf/nips/DaumeKS10,
neurips_2010_0009,Computing Marginal Distributions over Continuous Markov Networks for Statistical Relational Learning.,2010,NeurIPS,Matthias Broecheler; Lise Getoor,https://dblp.org/rec/conf/nips/BroechelerG10,
neurips_2010_0010,Construction of Dependent Dirichlet Processes based on Poisson Processes.,2010,NeurIPS,Dahua Lin; Eric Grimson; John W. Fisher III,https://dblp.org/rec/conf/nips/LinGF10,
neurips_2010_0011,Copula Bayesian Networks.,2010,NeurIPS,Gal Elidan,https://dblp.org/rec/conf/nips/Elidan10,
neurips_2010_0012,Discriminative Clustering by Regularized Information Maximization.,2010,NeurIPS,Ryan Gomes; Andreas Krause 0001; Pietro Perona,https://dblp.org/rec/conf/nips/GomesKP10,
neurips_2010_0013,Distributed Dual Averaging In Networks.,2010,NeurIPS,John C. Duchi; Alekh Agarwal; Martin J. Wainwright,https://dblp.org/rec/conf/nips/DuchiAW10,
neurips_2010_0014,Double Q-learning.,2010,NeurIPS,Hado van Hasselt,https://dblp.org/rec/conf/nips/Hasselt10,
neurips_2010_0015,Empirical Bernstein Inequalities for U-Statistics.,2010,NeurIPS,Thomas Peel; Sandrine Anthoine; Liva Ralaivola,https://dblp.org/rec/conf/nips/PeelAR10,
neurips_2010_0016,Energy Disaggregation via Discriminative Sparse Coding.,2010,NeurIPS,J. Zico Kolter; Siddharth Batra; Andrew Y. Ng,https://dblp.org/rec/conf/nips/KolterBN10,
neurips_2010_0017,Exploiting weakly-labeled Web images to improve object classification: a domain adaptation approach.,2010,NeurIPS,Alessandro Bergamo; Lorenzo Torresani,https://dblp.org/rec/conf/nips/BergamoT10,
neurips_2010_0018,Extended Bayesian Information Criteria for Gaussian Graphical Models.,2010,NeurIPS,Rina Foygel; Mathias Drton,https://dblp.org/rec/conf/nips/FoygelD10,
neurips_2010_0019,Fast Large-scale Mixture Modeling with Component-specific Data Partitions.,2010,NeurIPS,Bo Thiesson; Chong Wang 0002,https://dblp.org/rec/conf/nips/ThiessonW10,
neurips_2010_0020,Feature Set Embedding for Incomplete Data.,2010,NeurIPS,David Grangier; Iain Melvin,https://dblp.org/rec/conf/nips/GrangierM10,
neurips_2010_0021,Generalized roof duality and bisubmodular functions.,2010,NeurIPS,Vladimir Kolmogorov,https://dblp.org/rec/conf/nips/Kolmogorov10,
neurips_2010_0022,Getting lost in space: Large sample analysis of the resistance distance.,2010,NeurIPS,Ulrike von Luxburg; Agnes Radl; Matthias Hein 0001,https://dblp.org/rec/conf/nips/LuxburgRH10,
neurips_2010_0023,Global Analytic Solution for Variational Bayesian Matrix Factorization.,2010,NeurIPS,Shinichi Nakajima; Masashi Sugiyama; Ryota Tomioka,https://dblp.org/rec/conf/nips/NakajimaST10,
neurips_2010_0024,Graph-Valued Regression.,2010,NeurIPS,Han Liu 0001; Xi Chen 0010; John D. Lafferty; Larry A. Wasserman,https://dblp.org/rec/conf/nips/LiuCLW10,
neurips_2010_0025,Heavy-Tailed Process Priors for Selective Shrinkage.,2010,NeurIPS,Fabian L. Wauthier; Michael I. Jordan,https://dblp.org/rec/conf/nips/WauthierJ10,
neurips_2010_0026,Identifying Patients at Risk of Major Adverse Cardiovascular Events Using Symbolic Mismatch.,2010,NeurIPS,Zeeshan Syed; John V. Guttag,https://dblp.org/rec/conf/nips/SyedG10,
neurips_2010_0027,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation.,2010,NeurIPS,Mathieu Salzmann; Raquel Urtasun,https://dblp.org/rec/conf/nips/SalzmannU10,
neurips_2010_0028,Inference and communication in the game of Password.,2010,NeurIPS,Yang Xu 0023; Charles Kemp,https://dblp.org/rec/conf/nips/XuK10,
neurips_2010_0029,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks.,2010,NeurIPS,Dirk Husmeier; Frank Dondelinger; Sophie Lbre,https://dblp.org/rec/conf/nips/HusmeierDL10,
neurips_2010_0030,Interval Estimation for Reinforcement-Learning Algorithms in Continuous-State Domains.,2010,NeurIPS,Martha White; Adam White 0001,https://dblp.org/rec/conf/nips/WhiteW10,
neurips_2010_0031,"Layered image motion with explicit occlusions, temporal consistency, and depth ordering.",2010,NeurIPS,Deqing Sun; Erik B. Sudderth; Michael J. Black,https://dblp.org/rec/conf/nips/SunSB10,
neurips_2010_0032,Learning Convolutional Feature Hierarchies for Visual Recognition.,2010,NeurIPS,Koray Kavukcuoglu; Pierre Sermanet; Y-Lan Boureau; Karol Gregor; Michal Mathieu; Yann LeCun,https://dblp.org/rec/conf/nips/KavukcuogluSBGML10,
neurips_2010_0033,Learning invariant features using the Transformed Indian Buffet Process.,2010,NeurIPS,Joseph L. Austerweil; Thomas L. Griffiths 0001,https://dblp.org/rec/conf/nips/AusterweilG10,
neurips_2010_0034,Linear Complementarity for Regularized Policy Evaluation and Improvement.,2010,NeurIPS,Jeffrey Johns; Christopher Painter-Wakefield; Ronald Parr,https://dblp.org/rec/conf/nips/JohnsPP10,
neurips_2010_0035,Linear readout from a neural population with partial correlation data.,2010,NeurIPS,Adrien Wohrer; Ranulfo Romo; Christian K. Machens,https://dblp.org/rec/conf/nips/WohrerRM10,
neurips_2010_0036,Link Discovery using Graph Feature Tracking.,2010,NeurIPS,Emile Richard; Nicolas Baskiotis; Theodoros Evgeniou; Nicolas Vayatis,https://dblp.org/rec/conf/nips/RichardBEV10,
neurips_2010_0037,New Adaptive Algorithms for Online Classification.,2010,NeurIPS,Francesco Orabona; Koby Crammer,https://dblp.org/rec/conf/nips/OrabonaC10,
neurips_2010_0038,Occlusion Detection and Motion Estimation with Convex Optimization.,2010,NeurIPS,Alper Ayvaci; Michalis Raptis; Stefano Soatto,https://dblp.org/rec/conf/nips/AyvaciRS10,
neurips_2010_0039,Online Learning for Latent Dirichlet Allocation.,2010,NeurIPS,Matthew D. Hoffman; David M. Blei; Francis R. Bach,https://dblp.org/rec/conf/nips/HoffmanBB10,
neurips_2010_0040,Optimal learning rates for Kernel Conjugate Gradient regression.,2010,NeurIPS,Gilles Blanchard; Nicole Krmer 0002,https://dblp.org/rec/conf/nips/BlanchardK10,
neurips_2010_0041,Over-complete representations on recurrent neural networks can support persistent percepts.,2010,NeurIPS,Shaul Druckmann; Dmitri B. Chklovskii,https://dblp.org/rec/conf/nips/DruckmannC10,
neurips_2010_0042,Penalized Principal Component Regression on Graphs for Analysis of Subnetworks.,2010,NeurIPS,Ali Shojaie; George Michailidis,https://dblp.org/rec/conf/nips/ShojaieM10,
neurips_2010_0043,Permutation Complexity Bound on Out-Sample Error.,2010,NeurIPS,Malik Magdon-Ismail,https://dblp.org/rec/conf/nips/Magdon-Ismail10,
neurips_2010_0044,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression.,2010,NeurIPS,Ling Huang 0001; Jinzhu Jia; Bin Yu 0001; Byung-Gon Chun; Petros Maniatis; Mayur Naik,https://dblp.org/rec/conf/nips/HuangJYCMN10,
neurips_2010_0045,Predictive State Temporal Difference Learning.,2010,NeurIPS,Byron Boots; Geoffrey J. Gordon,https://dblp.org/rec/conf/nips/BootsG10,
neurips_2010_0046,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach.,2010,NeurIPS,Ning Chen 0002; Jun Zhu 0001; Eric P. Xing,https://dblp.org/rec/conf/nips/ChenZX10,
neurips_2010_0047,Random Conic Pursuit for Semidefinite Programming.,2010,NeurIPS,Ariel Kleiner; Ali Rahimi; Michael I. Jordan,https://dblp.org/rec/conf/nips/KleinerRJ10,
neurips_2010_0048,Relaxed Clipping: A Global Training Method for Robust Regression and Classification.,2010,NeurIPS,Yaoliang Yu; Min Yang; Linli Xu; Martha White; Dale Schuurmans,https://dblp.org/rec/conf/nips/YuYXWS10,
neurips_2010_0049,Repeated Games against Budgeted Adversaries.,2010,NeurIPS,Jacob D. Abernethy; Manfred K. Warmuth,https://dblp.org/rec/conf/nips/AbernethyW10,
neurips_2010_0050,Simultaneous Object Detection and Ranking with Weak Supervision.,2010,NeurIPS,Matthew B. Blaschko; Andrea Vedaldi; Andrew Zisserman,https://dblp.org/rec/conf/nips/BlaschkoVZ10,
neurips_2010_0051,Size Matters: Metric Visual Search Constraints from Monocular Metadata.,2010,NeurIPS,Mario Fritz; Kate Saenko; Trevor Darrell,https://dblp.org/rec/conf/nips/FritzSD10,
neurips_2010_0052,Sodium entry efficiency during action potentials: A novel single-parameter family of Hodgkin-Huxley models.,2010,NeurIPS,Anand Singh; Renaud Jolivet; Pierre J. Magistretti; Bruno Weber,https://dblp.org/rec/conf/nips/SinghJMW10,
neurips_2010_0053,Sparse Coding for Learning Interpretable Spatio-Temporal Primitives.,2010,NeurIPS,Taehwan Kim 0003; Gregory Shakhnarovich; Raquel Urtasun,https://dblp.org/rec/conf/nips/KimSU10,
neurips_2010_0054,Spatial and anatomical regularization of SVM for brain image analysis.,2010,NeurIPS,Rmi Cuingnet; Marie Chupin; Habib Benali; Olivier Colliot,https://dblp.org/rec/conf/nips/CuingnetCBC10,
neurips_2010_0055,Sphere Embedding: An Application to Part-of-Speech Induction.,2010,NeurIPS,Yariv Maron; Michael Lamar; Elie Bienenstock,https://dblp.org/rec/conf/nips/MaronLB10,
neurips_2010_0056,Spike timing-dependent plasticity as dynamic filter.,2010,NeurIPS,Joscha Schmiedt; Christian Albers; Klaus Pawelzik,https://dblp.org/rec/conf/nips/SchmiedtAP10,
neurips_2010_0057,Structural epitome: a way to summarize one's visual experience.,2010,NeurIPS,Nebojsa Jojic; Alessandro Perina; Vittorio Murino,https://dblp.org/rec/conf/nips/JojicPM10,
neurips_2010_0058,Subgraph Detection Using Eigenvector L1 Norms.,2010,NeurIPS,Benjamin A. Miller; Nadya T. Bliss; Patrick J. Wolfe,https://dblp.org/rec/conf/nips/MillerBW10,
neurips_2010_0059,Switching state space model for simultaneously estimating state transitions and nonstationary firing rates.,2010,NeurIPS,Ken Takiyama; Masato Okada,https://dblp.org/rec/conf/nips/TakiyamaO10,
neurips_2010_0060,The Multidimensional Wisdom of Crowds.,2010,NeurIPS,Peter Welinder; Steve Branson; Serge J. Belongie; Pietro Perona,https://dblp.org/rec/conf/nips/WelinderBBP10,
neurips_2010_0061,Tight Sample Complexity of Large-Margin Learning.,2010,NeurIPS,Sivan Sabato; Nathan Srebro; Naftali Tishby,https://dblp.org/rec/conf/nips/SabatoST10,
neurips_2010_0062,Variable margin losses for classifier design.,2010,NeurIPS,Hamed Masnadi-Shirazi; Nuno Vasconcelos,https://dblp.org/rec/conf/nips/Masnadi-ShiraziV10,
neurips_2010_0063,Variational bounds for mixed-data factor analysis.,2010,NeurIPS,Mohammad Emtiyaz Khan; Benjamin M. Marlin; Guillaume Bouchard; Kevin P. Murphy,https://dblp.org/rec/conf/nips/KhanMBM10,
neurips_2010_0064,Why are some word orders more common than others? A uniform information density account.,2010,NeurIPS,Luke Maurits; Daniel J. Navarro; Amy Perfors,https://dblp.org/rec/conf/nips/MauritsNP10,
neurips_2010_0065,b-Bit Minwise Hashing for Estimating Three-Way Similarities.,2010,NeurIPS,Ping Li 0001; Arnd Christian Knig; Wenhao Gui,https://dblp.org/rec/conf/nips/LiKG10,
neurips_2011_0001,A Comparative Study of Algorithms for Intra- and Inter-subjects fMRI Decoding.,2011,NeurIPS,Vincent Michel; Alexandre Gramfort; Evelyn Eger; Gal Varoquaux; Bertrand Thirion,https://dblp.org/rec/conf/nips/MichelGEVT11,10.1007/978-3-642-34713-9_1
neurips_2011_0002,A Latent Feature Analysis of the Neural Representation of Conceptual Knowledge.,2011,NeurIPS,Kai-min Kevin Chang; Brian Murphy; Marcel Adam Just,https://dblp.org/rec/conf/nips/ChangMJ11,10.1007/978-3-642-34713-9_30
neurips_2011_0003,A New Feature Selection Method Based on Stability Theory - Exploring Parameters Space to Evaluate Classification Accuracy in Neuroimaging Data.,2011,NeurIPS,Jane M. Rondina; John Shawe-Taylor; Janaina Mouro Miranda,https://dblp.org/rec/conf/nips/RondinaSM11,10.1007/978-3-642-34713-9_7
neurips_2011_0004,A blind sparse deconvolution method for neural spike identification.,2011,NeurIPS,Chaitanya Ekanadham; Daniel Tranchina; Eero P. Simoncelli,https://dblp.org/rec/conf/nips/EkanadhamTS11,
neurips_2011_0005,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity.,2011,NeurIPS,Nir Ailon,https://dblp.org/rec/conf/nips/Ailon11,
neurips_2011_0006,Active Ranking using Pairwise Comparisons.,2011,NeurIPS,Kevin G. Jamieson; Robert D. Nowak,https://dblp.org/rec/conf/nips/JamiesonN11,
neurips_2011_0007,Adaptive Hedge.,2011,NeurIPS,Tim van Erven; Peter Grunwald; Wouter M. Koolen; Steven de Rooij,https://dblp.org/rec/conf/nips/ErvenGKR11,
neurips_2011_0008,Algorithms and hardness results for parallel large margin learning.,2011,NeurIPS,Rocco A. Servedio; Philip M. Long,https://dblp.org/rec/conf/nips/ServedioL11,
neurips_2011_0009,Automated Refinement of Bayes Networks' Parameters based on Test Ordering Constraints.,2011,NeurIPS,Omar Zia Khan; Pascal Poupart; John Mark Agosta,https://dblp.org/rec/conf/nips/KhanPA11,
neurips_2011_0010,Better Mini-Batch Algorithms via Accelerated Gradient Methods.,2011,NeurIPS,Andrew Cotter; Ohad Shamir; Nati Srebro; Karthik Sridharan,https://dblp.org/rec/conf/nips/CotterSSS11,
neurips_2011_0011,Co-Training for Domain Adaptation.,2011,NeurIPS,Minmin Chen; Kilian Q. Weinberger; John Blitzer,https://dblp.org/rec/conf/nips/ChenWB11,
neurips_2011_0012,Co-regularized Multi-view Spectral Clustering.,2011,NeurIPS,Abhishek Kumar 0001; Piyush Rai; Hal Daum III,https://dblp.org/rec/conf/nips/KumarRD11,
neurips_2011_0013,Contextual Gaussian Process Bandit Optimization.,2011,NeurIPS,Andreas Krause 0001; Cheng Soon Ong,https://dblp.org/rec/conf/nips/KrauseO11,
neurips_2011_0014,Continuous-Time Regression Models for Longitudinal Networks.,2011,NeurIPS,Duy Quang Vu; Arthur U. Asuncion; David R. Hunter; Padhraic Smyth,https://dblp.org/rec/conf/nips/VuAHS11,
neurips_2011_0015,Data Skeletonization via Reeb Graphs.,2011,NeurIPS,Xiaoyin Ge; Issam Safa; Mikhail Belkin; Yusu Wang 0001,https://dblp.org/rec/conf/nips/GeSBW11,
neurips_2011_0016,Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators.,2011,NeurIPS,Dominique C. Perrault-Joncas; Marina Meila,https://dblp.org/rec/conf/nips/Perrault-JoncasM11,
neurips_2011_0017,Efficient Methods for Overlapping Group Lasso.,2011,NeurIPS,Lei Yuan 0001; Jun Liu 0003; Jieping Ye,https://dblp.org/rec/conf/nips/YuanLY11,
neurips_2011_0018,Expressive Power and Approximation Errors of Restricted Boltzmann Machines.,2011,NeurIPS,Guido Montfar; Johannes Rauh; Nihat Ay,https://dblp.org/rec/conf/nips/MontufarRA11,
neurips_2011_0019,Generalized Beta Mixtures of Gaussians.,2011,NeurIPS,Artin Armagan; David B. Dunson; Merlise A. Clyde,https://dblp.org/rec/conf/nips/ArmaganDC11,
neurips_2011_0020,Higher-Order Correlation Clustering for Image Segmentation.,2011,NeurIPS,Sungwoong Kim; Sebastian Nowozin; Pushmeet Kohli; Chang Dong Yoo,https://dblp.org/rec/conf/nips/KimNKY11,
neurips_2011_0021,How Does the Brain Represent Visual Scenes? A Neuromagnetic Scene Categorization Study.,2011,NeurIPS,Pavan Ramkumar; Sebastian Pannasch; Bruce C. Hansen; Adam M. Larson; Lester C. Loschky,https://dblp.org/rec/conf/nips/RamkumarPHLL11,10.1007/978-3-642-34713-9_12
neurips_2011_0022,Improved Algorithms for Linear Stochastic Bandits.,2011,NeurIPS,Yasin Abbasi-Yadkori; Dvid Pl; Csaba Szepesvri,https://dblp.org/rec/conf/nips/Abbasi-YadkoriPS11,
neurips_2011_0023,Improving Topic Coherence with Regularized Topic Models.,2011,NeurIPS,David Newman; Edwin V. Bonilla; Wray L. Buntine,https://dblp.org/rec/conf/nips/NewmanBB11,
neurips_2011_0024,Inductive reasoning about chimeric creatures.,2011,NeurIPS,Charles Kemp,https://dblp.org/rec/conf/nips/Kemp11,
neurips_2011_0025,Inferring spike-timing-dependent plasticity from spike train data.,2011,NeurIPS,Ian H. Stevenson; Konrad P. Krding,https://dblp.org/rec/conf/nips/StevensonK11,
neurips_2011_0026,Infinite Latent SVM for Classification and Multi-task Learning.,2011,NeurIPS,Jun Zhu 0001; Ning Chen 0002; Eric P. Xing,https://dblp.org/rec/conf/nips/ZhuCX11,
neurips_2011_0027,Learning Probabilistic Non-Linear Latent Variable Models for Tracking Complex Activities.,2011,NeurIPS,Angela Yao; Juergen Gall; Luc Van Gool; Raquel Urtasun,https://dblp.org/rec/conf/nips/YaoGGU11,
neurips_2011_0028,Learning in Hilbert vs. Banach Spaces: A Measure Embedding Viewpoint.,2011,NeurIPS,Bharath K. Sriperumbudur; Kenji Fukumizu; Gert R. G. Lanckriet,https://dblp.org/rec/conf/nips/SriperumbudurFL11,
neurips_2011_0029,Learning person-object interactions for action recognition in still images.,2011,NeurIPS,Vincent Delaitre; Josef Sivic; Ivan Laptev,https://dblp.org/rec/conf/nips/DelaitreSL11,
neurips_2011_0030,Learning unbelievable probabilities.,2011,NeurIPS,Xaq Pitkow; Yashar Ahmadian; Kenneth D. Miller,https://dblp.org/rec/conf/nips/PitkowAM11,
neurips_2011_0031,Message-Passing for Approximate MAP Inference with Latent Variables.,2011,NeurIPS,Jiarong Jiang; Piyush Rai; Hal Daum III,https://dblp.org/rec/conf/nips/JiangRD11,
neurips_2011_0032,Monte Carlo Value Iteration with Macro-Actions.,2011,NeurIPS,Zhan Wei Lim; David Hsu; Wee Sun Lee,https://dblp.org/rec/conf/nips/LimHS11,
neurips_2011_0033,Multiple Instance Filtering.,2011,NeurIPS,Kamil Wnuk; Stefano Soatto,https://dblp.org/rec/conf/nips/WnukS11,
neurips_2011_0034,Neuronal Adaptation for Sampling-Based Probabilistic Inference in Perceptual Bistability.,2011,NeurIPS,David P. Reichert; Peggy Seris; Amos J. Storkey,https://dblp.org/rec/conf/nips/ReichertSS11,
