topic,category,year,share,prev_avg_share,burst_score
Cloud DB,Systems,2010,0.015873015873015872,,
Data Analytics,Applications,2010,0.10317460317460317,,
Data Integration,Data Processing,2010,0.06349206349206349,,
Distributed DB,Systems,2010,0.07936507936507936,,
Graph Data,Data Models,2010,0.1111111111111111,,
Indexing,Storage & Access,2010,0.07142857142857142,,
Information Retrieval,Applications,2010,0.15079365079365079,,
ML for DB,AI for Data Systems,2010,0.09523809523809523,,
Privacy / Security,Trust,2010,0.023809523809523808,,
Query Optimization,Query Processing,2010,0.10317460317460317,,
Spatial / Temporal,Specialized Data,2010,0.06349206349206349,,
Streaming,Data Processing,2010,0.07936507936507936,,
Transactions,Systems,2010,0.007936507936507936,,
Vector Search,AI for Data Systems,2010,0.007936507936507936,,
XML,Data Models,2010,0.023809523809523808,,
Cloud DB,Systems,2011,0.02054794520547945,,
Crowdsourcing,Applications,2011,0.00684931506849315,,
Data Analytics,Applications,2011,0.1232876712328767,,
Data Integration,Data Processing,2011,0.02054794520547945,,
Distributed DB,Systems,2011,0.08904109589041095,,
Graph Data,Data Models,2011,0.07534246575342465,,
Indexing,Storage & Access,2011,0.0958904109589041,,
Information Retrieval,Applications,2011,0.1780821917808219,,
ML for DB,AI for Data Systems,2011,0.0821917808219178,,
Privacy / Security,Trust,2011,0.0273972602739726,,
Query Optimization,Query Processing,2011,0.13013698630136986,,
RDF / Semantic Web,Data Models,2011,0.02054794520547945,,
Spatial / Temporal,Specialized Data,2011,0.0136986301369863,,
Streaming,Data Processing,2011,0.04794520547945205,,
Transactions,Systems,2011,0.03424657534246575,,
Vector Search,AI for Data Systems,2011,0.0136986301369863,,
XML,Data Models,2011,0.02054794520547945,,
Cloud DB,Systems,2012,0.022727272727272728,,
Crowdsourcing,Applications,2012,0.03787878787878788,,
Data Analytics,Applications,2012,0.14393939393939395,,
Data Integration,Data Processing,2012,0.06060606060606061,,
Distributed DB,Systems,2012,0.09090909090909091,,
Graph Data,Data Models,2012,0.12878787878787878,,
Indexing,Storage & Access,2012,0.06818181818181818,,
Information Retrieval,Applications,2012,0.1590909090909091,,
ML for DB,AI for Data Systems,2012,0.045454545454545456,,
Privacy / Security,Trust,2012,0.015151515151515152,,
Query Optimization,Query Processing,2012,0.08333333333333333,,
RDF / Semantic Web,Data Models,2012,0.030303030303030304,,
Spatial / Temporal,Specialized Data,2012,0.030303030303030304,,
Streaming,Data Processing,2012,0.030303030303030304,,
Transactions,Systems,2012,0.022727272727272728,,
Vector Search,AI for Data Systems,2012,0.015151515151515152,,
XML,Data Models,2012,0.015151515151515152,,
Cloud DB,Systems,2013,0.025,0.019716077935256017,0.005283922064743984
Data Analytics,Applications,2013,0.2,0.12346722278229127,0.07653277721770874
Data Integration,Data Processing,2013,0.035,0.04821535643453451,-0.01321535643453451
Distributed DB,Systems,2013,0.13,0.08643842205486041,0.043561577945139596
Graph Data,Data Models,2013,0.12,0.10508048521747153,0.014919514782528467
Indexing,Storage & Access,2013,0.065,0.07850026685643123,-0.013500266856431228
Information Retrieval,Applications,2013,0.115,0.1626555838884606,-0.0476555838884606
ML for DB,AI for Data Systems,2013,0.045,0.0742948071715195,-0.0292948071715195
Privacy / Security,Trust,2013,0.025,0.02211943307833719,0.002880566921662813
Query Optimization,Query Processing,2013,0.11,0.10554830760310212,0.004451692396897883
RDF / Semantic Web,Data Models,2013,0.01,,
Spatial / Temporal,Specialized Data,2013,0.04,0.03583124131069337,0.004168758689306634
Streaming,Data Processing,2013,0.045,0.05253777171585391,-0.0075377717158539095
Transactions,Systems,2013,0.02,0.021636785335415475,-0.0016367853354154749
XML,Data Models,2013,0.015,0.019836328055506138,-0.004836328055506139
Cloud DB,Systems,2014,0.0319634703196347,0.02275840597758406,0.00920506434205064
Crowdsourcing,Applications,2014,0.0136986301369863,,
Data Analytics,Applications,2014,0.1872146118721461,0.15574235505742354,0.03147225681472257
Data Integration,Data Processing,2014,0.0136986301369863,0.03871800193718002,-0.025019371800193722
Distributed DB,Systems,2014,0.1004566210045662,0.10331672893316729,-0.0028601079286010855
Graph Data,Data Models,2014,0.1278538812785388,0.10804344818043447,0.019810433098104333
Indexing,Storage & Access,2014,0.0821917808219178,0.07635740971357409,0.005834371108343714
Information Retrieval,Applications,2014,0.0776255707762557,0.15072436695724367,-0.07309879618098797
ML for DB,AI for Data Systems,2014,0.0639269406392694,0.05754877542548775,0.00637816521378165
Privacy / Security,Trust,2014,0.0136986301369863,0.022516258475162587,-0.008817628338176287
Query Optimization,Query Processing,2014,0.136986301369863,0.1078234398782344,0.02916286149162861
RDF / Semantic Web,Data Models,2014,0.0319634703196347,0.020283658502836584,0.011679811816798117
Spatial / Temporal,Specialized Data,2014,0.0502283105022831,0.028000553480005536,0.022227757022277566
Streaming,Data Processing,2014,0.0273972602739726,0.041082745260827454,-0.013685484986854853
Transactions,Systems,2014,0.0182648401826484,0.02565794935657949,-0.00739310917393109
Vector Search,AI for Data Systems,2014,0.0228310502283105,,
Cloud DB,Systems,2015,0.015228426395939087,0.02656358101563581,-0.011335154619696725
