topic,category,year,count,total_papers,share
Cloud DB,Systems,2010,2,126,0.015873015873015872
Data Analytics,Applications,2010,13,126,0.10317460317460317
Data Integration,Data Processing,2010,8,126,0.06349206349206349
Distributed DB,Systems,2010,10,126,0.07936507936507936
Graph Data,Data Models,2010,14,126,0.1111111111111111
Indexing,Storage & Access,2010,9,126,0.07142857142857142
Information Retrieval,Applications,2010,19,126,0.15079365079365079
ML for DB,AI for Data Systems,2010,12,126,0.09523809523809523
Privacy / Security,Trust,2010,3,126,0.023809523809523808
Query Optimization,Query Processing,2010,13,126,0.10317460317460317
Spatial / Temporal,Specialized Data,2010,8,126,0.06349206349206349
Streaming,Data Processing,2010,10,126,0.07936507936507936
Transactions,Systems,2010,1,126,0.007936507936507936
Vector Search,AI for Data Systems,2010,1,126,0.007936507936507936
XML,Data Models,2010,3,126,0.023809523809523808
Cloud DB,Systems,2011,3,146,0.02054794520547945
Crowdsourcing,Applications,2011,1,146,0.00684931506849315
Data Analytics,Applications,2011,18,146,0.1232876712328767
Data Integration,Data Processing,2011,3,146,0.02054794520547945
Distributed DB,Systems,2011,13,146,0.08904109589041095
Graph Data,Data Models,2011,11,146,0.07534246575342465
Indexing,Storage & Access,2011,14,146,0.0958904109589041
Information Retrieval,Applications,2011,26,146,0.1780821917808219
ML for DB,AI for Data Systems,2011,12,146,0.0821917808219178
Privacy / Security,Trust,2011,4,146,0.0273972602739726
Query Optimization,Query Processing,2011,19,146,0.13013698630136986
RDF / Semantic Web,Data Models,2011,3,146,0.02054794520547945
Spatial / Temporal,Specialized Data,2011,2,146,0.0136986301369863
Streaming,Data Processing,2011,7,146,0.04794520547945205
Transactions,Systems,2011,5,146,0.03424657534246575
Vector Search,AI for Data Systems,2011,2,146,0.0136986301369863
XML,Data Models,2011,3,146,0.02054794520547945
Cloud DB,Systems,2012,3,132,0.022727272727272728
Crowdsourcing,Applications,2012,5,132,0.03787878787878788
Data Analytics,Applications,2012,19,132,0.14393939393939395
Data Integration,Data Processing,2012,8,132,0.06060606060606061
Distributed DB,Systems,2012,12,132,0.09090909090909091
Graph Data,Data Models,2012,17,132,0.12878787878787878
Indexing,Storage & Access,2012,9,132,0.06818181818181818
Information Retrieval,Applications,2012,21,132,0.1590909090909091
ML for DB,AI for Data Systems,2012,6,132,0.045454545454545456
Privacy / Security,Trust,2012,2,132,0.015151515151515152
Query Optimization,Query Processing,2012,11,132,0.08333333333333333
RDF / Semantic Web,Data Models,2012,4,132,0.030303030303030304
Spatial / Temporal,Specialized Data,2012,4,132,0.030303030303030304
Streaming,Data Processing,2012,4,132,0.030303030303030304
Transactions,Systems,2012,3,132,0.022727272727272728
Vector Search,AI for Data Systems,2012,2,132,0.015151515151515152
XML,Data Models,2012,2,132,0.015151515151515152
Cloud DB,Systems,2013,5,200,0.025
Data Analytics,Applications,2013,40,200,0.2
Data Integration,Data Processing,2013,7,200,0.035
Distributed DB,Systems,2013,26,200,0.13
Graph Data,Data Models,2013,24,200,0.12
Indexing,Storage & Access,2013,13,200,0.065
Information Retrieval,Applications,2013,23,200,0.115
ML for DB,AI for Data Systems,2013,9,200,0.045
Privacy / Security,Trust,2013,5,200,0.025
Query Optimization,Query Processing,2013,22,200,0.11
RDF / Semantic Web,Data Models,2013,2,200,0.01
Spatial / Temporal,Specialized Data,2013,8,200,0.04
Streaming,Data Processing,2013,9,200,0.045
Transactions,Systems,2013,4,200,0.02
XML,Data Models,2013,3,200,0.015
Cloud DB,Systems,2014,7,219,0.0319634703196347
Crowdsourcing,Applications,2014,3,219,0.0136986301369863
Data Analytics,Applications,2014,41,219,0.1872146118721461
Data Integration,Data Processing,2014,3,219,0.0136986301369863
Distributed DB,Systems,2014,22,219,0.1004566210045662
Graph Data,Data Models,2014,28,219,0.1278538812785388
Indexing,Storage & Access,2014,18,219,0.0821917808219178
Information Retrieval,Applications,2014,17,219,0.0776255707762557
ML for DB,AI for Data Systems,2014,14,219,0.0639269406392694
Privacy / Security,Trust,2014,3,219,0.0136986301369863
Query Optimization,Query Processing,2014,30,219,0.136986301369863
RDF / Semantic Web,Data Models,2014,7,219,0.0319634703196347
Spatial / Temporal,Specialized Data,2014,11,219,0.0502283105022831
Streaming,Data Processing,2014,6,219,0.0273972602739726
Transactions,Systems,2014,4,219,0.0182648401826484
Vector Search,AI for Data Systems,2014,5,219,0.0228310502283105
Cloud DB,Systems,2015,3,197,0.015228426395939087
Crowdsourcing,Applications,2015,6,197,0.030456852791878174
Data Analytics,Applications,2015,37,197,0.18781725888324874
Data Integration,Data Processing,2015,6,197,0.030456852791878174
Distributed DB,Systems,2015,30,197,0.15228426395939088
Graph Data,Data Models,2015,27,197,0.13705583756345177
Indexing,Storage & Access,2015,13,197,0.06598984771573604
Information Retrieval,Applications,2015,17,197,0.08629441624365482
ML for DB,AI for Data Systems,2015,13,197,0.06598984771573604
Privacy / Security,Trust,2015,4,197,0.02030456852791878
Query Optimization,Query Processing,2015,17,197,0.08629441624365482
RDF / Semantic Web,Data Models,2015,5,197,0.025380710659898477
Spatial / Temporal,Specialized Data,2015,7,197,0.03553299492385787
Streaming,Data Processing,2015,7,197,0.03553299492385787
Text-to-SQL / NLIDB,AI for Data Systems,2015,1,197,0.005076142131979695
Transactions,Systems,2015,1,197,0.005076142131979695
Vector Search,AI for Data Systems,2015,1,197,0.005076142131979695
XML,Data Models,2015,2,197,0.01015228426395939
Cloud DB,Systems,2016,1,209,0.004784688995215311
Crowdsourcing,Applications,2016,3,209,0.014354066985645933
Data Analytics,Applications,2016,37,209,0.17703349282296652
Data Integration,Data Processing,2016,6,209,0.028708133971291867
Distributed DB,Systems,2016,26,209,0.12440191387559808
Graph Data,Data Models,2016,28,209,0.1339712918660287
Indexing,Storage & Access,2016,16,209,0.07655502392344497
Information Retrieval,Applications,2016,16,209,0.07655502392344497
ML for DB,AI for Data Systems,2016,19,209,0.09090909090909091
Privacy / Security,Trust,2016,4,209,0.019138755980861243
Query Optimization,Query Processing,2016,23,209,0.11004784688995216
RDF / Semantic Web,Data Models,2016,5,209,0.023923444976076555
Spatial / Temporal,Specialized Data,2016,12,209,0.05741626794258373
Streaming,Data Processing,2016,8,209,0.03827751196172249
Transactions,Systems,2016,3,209,0.014354066985645933
Vector Search,AI for Data Systems,2016,2,209,0.009569377990430622
Cloud DB,Systems,2017,1,200,0.005
Crowdsourcing,Applications,2017,5,200,0.025
Data Analytics,Applications,2017,31,200,0.155
Data Integration,Data Processing,2017,6,200,0.03
Distributed DB,Systems,2017,20,200,0.1
Graph Data,Data Models,2017,28,200,0.14
Indexing,Storage & Access,2017,8,200,0.04
Information Retrieval,Applications,2017,19,200,0.095
ML for DB,AI for Data Systems,2017,17,200,0.085
Privacy / Security,Trust,2017,3,200,0.015
Query Optimization,Query Processing,2017,24,200,0.12
RDF / Semantic Web,Data Models,2017,5,200,0.025
