paper_id,title,year,venue,authors,dblp_url,doi
pacmmod_2023_0005,A Unified Approach for Resilience and Causal Responsibility with Integer Linear Programming (ILP) and LP Relaxations.,2023,PACMMOD,Neha Makhija; Wolfgang Gatterbauer,https://dblp.org/rec/journals/pacmmod/MakhijaG23,10.1145/3626715
pacmmod_2023_0006,A Unified and Efficient Coordinating Framework for Autonomous DBMS Tuning.,2023,PACMMOD,Xinyi Zhang 0002; Zhuo Chang; Hong Wu; Yang Li 0106; Jia Chen 0030; Jian Tan 0001; Feifei Li 0001; Bin Cui 0001,https://dblp.org/rec/journals/pacmmod/ZhangCWLCTL023,10.1145/3589331
pacmmod_2023_0008,ALP: Adaptive Lossless floating-Point Compression.,2023,PACMMOD,Azim Afroozeh; Leonardo Kuff; Peter Boncz,https://dblp.org/rec/journals/pacmmod/AfroozehKB23,10.1145/3626717
pacmmod_2023_0009,AS-Parser: Log Parsing Based on Adaptive Segmentation.,2023,PACMMOD,Xiaolei Chen 0001; Peng Wang 0027; Jia Chen 0037; Wei Wang 0009,https://dblp.org/rec/journals/pacmmod/ChenWCW23,10.1145/3626719
pacmmod_2023_0010,"AWARE: Workload-aware, Redundancy-exploiting Linear Algebra.",2023,PACMMOD,Sebastian Baunsgaard; Matthias Boehm 0001,https://dblp.org/rec/journals/pacmmod/Baunsgaard023,10.1145/3588682
pacmmod_2023_0017,BALANCE: Bayesian Linear Attribution for Root Cause Localization.,2023,PACMMOD,Chaoyu Chen; Hang Yu 0002; Zhichao Lei; Jianguo Li; Shaokang Ren; Tingkai Zhang; Silin Hu; Jianchao Wang; Wenhui Shi,https://dblp.org/rec/journals/pacmmod/ChenYLLRZHWS23,10.1145/3588949
pacmmod_2023_0019,BtrBlocks: Efficient Columnar Compression for Data Lakes.,2023,PACMMOD,Maximilian Kuschewski; David Sauerwein; Adnan Alhomssi; Viktor Leis,https://dblp.org/rec/journals/pacmmod/KuschewskiSAL23,10.1145/3589263
pacmmod_2023_0022,ChainedFilter: Combining Membership Filters by Chain Rule.,2023,PACMMOD,Haoyu Li; Liuhui Wang; Qizhi Chen; Jianan Ji; Yuhan Wu 0001; Yikai Zhao 0001; Tong Yang 0003; Aditya Akella,https://dblp.org/rec/journals/pacmmod/LiWCJWZYA23,10.1145/3626721
pacmmod_2023_0026,Composite Object Normal Forms: Parameterizing Boyce-Codd Normal Form by the Number of Minimal Keys.,2023,PACMMOD,Zhuoxing Zhang; Wu Chen 0005; Sebastian Link,https://dblp.org/rec/journals/pacmmod/ZhangCL23,10.1145/3588693
pacmmod_2023_0028,Computing the Difference of Conjunctive Queries Efficiently.,2023,PACMMOD,Xiao Hu 0005; Qichen Wang 0001,https://dblp.org/rec/journals/pacmmod/0005023,10.1145/3589298
pacmmod_2023_0033,DP-starJ: A Differential Private Scheme towards Analytical Star-Join Queries.,2023,PACMMOD,Congcong Fu; Hui Li 0005; Jian Lou 0001; Huizhen Li; Jiangtao Cui,https://dblp.org/rec/journals/pacmmod/FuLLLC23,10.1145/3626725
pacmmod_2023_0036,"Data-Sharing Markets: Model, Protocol, and Algorithms to Incentivize the Formation of Data-Sharing Consortia.",2023,PACMMOD,Raul Castro Fernandez,https://dblp.org/rec/journals/pacmmod/Fernandez23,10.1145/3589317
pacmmod_2023_0038,"Design Guidelines for Correct, Efficient, and Scalable Synchronization using One-Sided RDMA.",2023,PACMMOD,Tobias Ziegler 0001; Jacob Nelson-Slivon; Viktor Leis; Carsten Binnig,https://dblp.org/rec/journals/pacmmod/0001NLB23,10.1145/3589276
pacmmod_2023_0043,Discovering Similarity Inclusion Dependencies.,2023,PACMMOD,Youri Kaminsky; Eduardo H. M. Pena; Felix Naumann,https://dblp.org/rec/journals/pacmmod/KaminskyPN23,10.1145/3588929
pacmmod_2023_0054,Efficient Approximation Framework for Attribute Recommendation.,2023,PACMMOD,Xingguang Chen; Fangyuan Zhang 0001; Jinchao Huang 0002; Sibo Wang 0001,https://dblp.org/rec/journals/pacmmod/ChenZHW23,10.1145/3626726
pacmmod_2023_0057,Efficient Maximum k-Defective Clique Computation with Improved Time Complexity.,2023,PACMMOD,Lijun Chang,https://dblp.org/rec/journals/pacmmod/Chang23,10.1145/3617313
pacmmod_2023_0058,Efficient Personalized PageRank Computation: The Power of Variance-Reduced Monte Carlo Approaches.,2023,PACMMOD,Meihao Liao; Rong-Hua Li 0001; Qiangqiang Dai; Hongyang Chen 0001; Hongchao Qin; Guoren Wang,https://dblp.org/rec/journals/pacmmod/LiaoLDCQW23a,10.1145/3589305
pacmmod_2023_0059,Efficient Query Re-optimization with Judicious Subquery Selections.,2023,PACMMOD,Junyi Zhao; Huanchen Zhang; Yihan Gao,https://dblp.org/rec/journals/pacmmod/ZhaoZG23,10.1145/3589330
pacmmod_2023_0060,Efficient Resistance Distance Computation: The Power of Landmark-based Approaches.,2023,PACMMOD,Meihao Liao; Rong-Hua Li 0001; Qiangqiang Dai; Hongyang Chen 0001; Hongchao Qin; Guoren Wang,https://dblp.org/rec/journals/pacmmod/LiaoLDCQW23,10.1145/3588922
pacmmod_2023_0067,Enriching Recommendation Models with Logic Conditions.,2023,PACMMOD,Lihang Fan; Wenfei Fan; Ping Lu 0005; Chao Tian 0001; Qiang Yin 0002,https://dblp.org/rec/journals/pacmmod/FanFLTY23,10.1145/3617330
pacmmod_2023_0069,Exploiting Structure in Regular Expression Queries.,2023,PACMMOD,Ling Zhang; Shaleen Deep; Avrilia Floratou; Anja Gruenheid; Jignesh M. Patel; Yiwen Zhu,https://dblp.org/rec/journals/pacmmod/ZhangDFGPZ23,10.1145/3589297
pacmmod_2023_0070,Exploratory Training: When Annotators Learn About Data.,2023,PACMMOD,Rajesh Shrestha; Omeed Habibelahian; Arash Termehchy; Paolo Papotti,https://dblp.org/rec/journals/pacmmod/ShresthaHTP23,10.1145/3589280
pacmmod_2023_0071,"F3KM: Federated, Fair, and Fast k-means.",2023,PACMMOD,Shengkun Zhu; Quanqing Xu; Jinshan Zeng; Sheng Wang 0007; Yuan Sun 0003; Zhifeng Yang; Chuanhui Yang; Zhiyong Peng 0001,https://dblp.org/rec/journals/pacmmod/ZhuXZWSYYP23,10.1145/3626728
pacmmod_2023_0073,FEC: Efficient Deep Recommendation Model Training with Flexible Embedding Communication.,2023,PACMMOD,Kaihao Ma; Xiao Yan 0002; Zhenkun Cai; Yuzhen Huang; Yidi Wu 0001; James Cheng,https://dblp.org/rec/journals/pacmmod/Ma0CHWC23,10.1145/3589310
pacmmod_2023_0078,Fast Maximal Quasi-clique Enumeration: A Pruning and Branching Co-Design Approach.,2023,PACMMOD,Kaiqiang Yu; Cheng Long 0001,https://dblp.org/rec/journals/pacmmod/YuL23a,10.1145/3617331
pacmmod_2023_0082,Foreign Keys Open the Door for Faster Incremental View Maintenance.,2023,PACMMOD,Christoforos Svingos; Andr Hernich; Hinnerk Gildhoff; Yannis Papakonstantinou; Yannis E. Ioannidis,https://dblp.org/rec/journals/pacmmod/SvingosHGPI23,10.1145/3588720
pacmmod_2023_0083,ForestTI: A Scalable Inverted-Index-Oriented Timeseries Management System with Flexible Memory Efficiency.,2023,PACMMOD,Zhiqi Wang; Zili Shao,https://dblp.org/rec/journals/pacmmod/WangS23,10.1145/3589260
pacmmod_2023_0086,GIO: Generating Efficient Matrix and Frame Readers for Custom Data Formats by Example.,2023,PACMMOD,Saeed Fathollahzadeh; Matthias Boehm 0001,https://dblp.org/rec/journals/pacmmod/Fathollahzadeh023,10.1145/3589265
pacmmod_2023_0099,HAIPipe: Combining Human-generated and Machine-generated Pipelines for Data Preparation.,2023,PACMMOD,Sibei Chen; Nan Tang 0001; Ju Fan; Xuemi Yan; Chengliang Chai; Guoliang Li 0001; Xiaoyong Du 0001,https://dblp.org/rec/journals/pacmmod/Chen0FYCL023,10.1145/3588945
pacmmod_2023_0105,High-Ratio Compression for Machine-Generated Data.,2023,PACMMOD,Jiujing Zhang; Zhitao Shen; Shiyu Yang; Lingkai Meng; Chuan Xiao 0001; Wei Jia; Yue Li; Qinhui Sun; Wenjie Zhang 0001; Xuemin Lin 0001,https://dblp.org/rec/journals/pacmmod/ZhangSYMXJLSZL23,10.1145/3626732
pacmmod_2023_0107,Homomorphic Compression: Making Text Processing on Compression Unlimited.,2023,PACMMOD,Jiawei Guan; Feng Zhang 0007; Siqi Ma 0001; Kuangyu Chen; Yihua Hu 0003; Yuxing Chen 0003; Anqun Pan; Xiaoyong Du 0001,https://dblp.org/rec/journals/pacmmod/GuanZMCHCPD23,10.1145/3626765
pacmmod_2023_0108,HongTu: Scalable Full-Graph GNN Training on Multiple GPUs.,2023,PACMMOD,Qiange Wang; Yao Chen 0008; Weng-Fai Wong; Bingsheng He,https://dblp.org/rec/journals/pacmmod/WangCWH23,10.1145/3626733
