source,target,source_topic,target_topic,source_period,target_period,weight,transition_type
"Biology, Molecules & Health@2010-2014","Biology, Molecules & Health@2015-2019","Biology, Molecules & Health","Biology, Molecules & Health",2010-2014,2015-2019,2,persistence
"Causality, Dynamics & Scientific ML@2010-2014","Causality, Dynamics & Scientific ML@2015-2019","Causality, Dynamics & Scientific ML","Causality, Dynamics & Scientific ML",2010-2014,2015-2019,11,persistence
Classical Statistical ML@2010-2014,Classical Statistical ML@2015-2019,Classical Statistical ML,Classical Statistical ML,2010-2014,2015-2019,77,persistence
Computer Vision & 3D Perception@2010-2014,Computer Vision & 3D Perception@2015-2019,Computer Vision & 3D Perception,Computer Vision & 3D Perception,2010-2014,2015-2019,29,persistence
Federated & Distributed Learning@2010-2014,Federated & Distributed Learning@2015-2019,Federated & Distributed Learning,Federated & Distributed Learning,2010-2014,2015-2019,8,persistence
Games & Mechanism Design@2010-2014,Games & Mechanism Design@2015-2019,Games & Mechanism Design,Games & Mechanism Design,2010-2014,2015-2019,3,persistence
Generative Models & Diffusion@2010-2014,Generative Models & Diffusion@2015-2019,Generative Models & Diffusion,Generative Models & Diffusion,2010-2014,2015-2019,3,persistence
Graph Machine Learning@2010-2014,Graph Machine Learning@2015-2019,Graph Machine Learning,Graph Machine Learning,2010-2014,2015-2019,11,persistence
Language Models & NLP@2010-2014,Language Models & NLP@2015-2019,Language Models & NLP,Language Models & NLP,2010-2014,2015-2019,5,persistence
Optimization & Learning Theory@2010-2014,Optimization & Learning Theory@2015-2019,Optimization & Learning Theory,Optimization & Learning Theory,2010-2014,2015-2019,50,persistence
Probabilistic Modeling@2010-2014,Probabilistic Modeling@2015-2019,Probabilistic Modeling,Probabilistic Modeling,2010-2014,2015-2019,84,persistence
Reinforcement Learning & Bandits@2010-2014,Reinforcement Learning & Bandits@2015-2019,Reinforcement Learning & Bandits,Reinforcement Learning & Bandits,2010-2014,2015-2019,25,persistence
Representation Learning@2010-2014,Representation Learning@2015-2019,Representation Learning,Representation Learning,2010-2014,2015-2019,42,persistence
"Robustness, Privacy & Safety@2010-2014","Robustness, Privacy & Safety@2015-2019","Robustness, Privacy & Safety","Robustness, Privacy & Safety",2010-2014,2015-2019,14,persistence
"Biology, Molecules & Health@2010-2014","Causality, Dynamics & Scientific ML@2015-2019","Biology, Molecules & Health","Causality, Dynamics & Scientific ML",2010-2014,2015-2019,70,cooccurrence
"Biology, Molecules & Health@2010-2014",Classical Statistical ML@2015-2019,"Biology, Molecules & Health",Classical Statistical ML,2010-2014,2015-2019,254,cooccurrence
"Biology, Molecules & Health@2010-2014",Computer Vision & 3D Perception@2015-2019,"Biology, Molecules & Health",Computer Vision & 3D Perception,2010-2014,2015-2019,104,cooccurrence
"Biology, Molecules & Health@2010-2014",Federated & Distributed Learning@2015-2019,"Biology, Molecules & Health",Federated & Distributed Learning,2010-2014,2015-2019,28,cooccurrence
