topic,category,year,share,prev_avg_share,burst_score
"Biology, Molecules & Health",AI for Science,2010,0.015625,,
"Causality, Dynamics & Scientific ML",Scientific ML,2010,0.046875,,
Classical Statistical ML,Core ML,2010,0.234375,,
Computer Vision & 3D Perception,Perception,2010,0.125,,
Federated & Distributed Learning,Systems for ML,2010,0.015625,,
Games & Mechanism Design,Decision Making,2010,0.03125,,
Graph Machine Learning,Structured Learning,2010,0.03125,,
Language Models & NLP,Generative AI,2010,0.03125,,
Optimization & Learning Theory,Core ML,2010,0.109375,,
Probabilistic Modeling,Core ML,2010,0.1875,,
Reinforcement Learning & Bandits,Decision Making,2010,0.015625,,
Representation Learning,Foundation Learning,2010,0.140625,,
"Robustness, Privacy & Safety",Trustworthy AI,2010,0.015625,,
"Biology, Molecules & Health",AI for Science,2011,0.016666666666666666,,
"Causality, Dynamics & Scientific ML",Scientific ML,2011,0.016666666666666666,,
Classical Statistical ML,Core ML,2011,0.18333333333333332,,
Computer Vision & 3D Perception,Perception,2011,0.1,,
Graph Machine Learning,Structured Learning,2011,0.05,,
Optimization & Learning Theory,Core ML,2011,0.13333333333333333,,
Probabilistic Modeling,Core ML,2011,0.21666666666666667,,
Reinforcement Learning & Bandits,Decision Making,2011,0.06666666666666667,,
Representation Learning,Foundation Learning,2011,0.18333333333333332,,
"Robustness, Privacy & Safety",Trustworthy AI,2011,0.03333333333333333,,
Classical Statistical ML,Core ML,2012,0.2948717948717949,,
Computer Vision & 3D Perception,Perception,2012,0.07692307692307693,,
Federated & Distributed Learning,Systems for ML,2012,0.02564102564102564,,
Graph Machine Learning,Structured Learning,2012,0.01282051282051282,,
Language Models & NLP,Generative AI,2012,0.02564102564102564,,
Optimization & Learning Theory,Core ML,2012,0.15384615384615385,,
Probabilistic Modeling,Core ML,2012,0.23076923076923078,,
Reinforcement Learning & Bandits,Decision Making,2012,0.0641025641025641,,
Representation Learning,Foundation Learning,2012,0.08974358974358974,,
"Robustness, Privacy & Safety",Trustworthy AI,2012,0.02564102564102564,,
"Causality, Dynamics & Scientific ML",Scientific ML,2013,0.06756756756756757,,
Classical Statistical ML,Core ML,2013,0.13513513513513514,0.2375267094017094,-0.10239157426657425
Computer Vision & 3D Perception,Perception,2013,0.08108108108108109,0.10064102564102566,-0.019559944559944573
Federated & Distributed Learning,Systems for ML,2013,0.013513513513513514,,
