topic,category,year,count,total_papers,share
"Biology, Molecules & Health",AI for Science,2010,1,64,0.015625
"Causality, Dynamics & Scientific ML",Scientific ML,2010,3,64,0.046875
Classical Statistical ML,Core ML,2010,15,64,0.234375
Computer Vision & 3D Perception,Perception,2010,8,64,0.125
Federated & Distributed Learning,Systems for ML,2010,1,64,0.015625
Games & Mechanism Design,Decision Making,2010,2,64,0.03125
Graph Machine Learning,Structured Learning,2010,2,64,0.03125
Language Models & NLP,Generative AI,2010,2,64,0.03125
Optimization & Learning Theory,Core ML,2010,7,64,0.109375
Probabilistic Modeling,Core ML,2010,12,64,0.1875
Reinforcement Learning & Bandits,Decision Making,2010,1,64,0.015625
Representation Learning,Foundation Learning,2010,9,64,0.140625
"Robustness, Privacy & Safety",Trustworthy AI,2010,1,64,0.015625
"Biology, Molecules & Health",AI for Science,2011,1,60,0.016666666666666666
"Causality, Dynamics & Scientific ML",Scientific ML,2011,1,60,0.016666666666666666
Classical Statistical ML,Core ML,2011,11,60,0.18333333333333332
Computer Vision & 3D Perception,Perception,2011,6,60,0.1
Graph Machine Learning,Structured Learning,2011,3,60,0.05
Optimization & Learning Theory,Core ML,2011,8,60,0.13333333333333333
Probabilistic Modeling,Core ML,2011,13,60,0.21666666666666667
Reinforcement Learning & Bandits,Decision Making,2011,4,60,0.06666666666666667
Representation Learning,Foundation Learning,2011,11,60,0.18333333333333332
"Robustness, Privacy & Safety",Trustworthy AI,2011,2,60,0.03333333333333333
Classical Statistical ML,Core ML,2012,23,78,0.2948717948717949
Computer Vision & 3D Perception,Perception,2012,6,78,0.07692307692307693
Federated & Distributed Learning,Systems for ML,2012,2,78,0.02564102564102564
Graph Machine Learning,Structured Learning,2012,1,78,0.01282051282051282
Language Models & NLP,Generative AI,2012,2,78,0.02564102564102564
Optimization & Learning Theory,Core ML,2012,12,78,0.15384615384615385
Probabilistic Modeling,Core ML,2012,18,78,0.23076923076923078
Reinforcement Learning & Bandits,Decision Making,2012,5,78,0.0641025641025641
Representation Learning,Foundation Learning,2012,7,78,0.08974358974358974
"Robustness, Privacy & Safety",Trustworthy AI,2012,2,78,0.02564102564102564
"Causality, Dynamics & Scientific ML",Scientific ML,2013,5,74,0.06756756756756757
Classical Statistical ML,Core ML,2013,10,74,0.13513513513513514
Computer Vision & 3D Perception,Perception,2013,6,74,0.08108108108108109
Federated & Distributed Learning,Systems for ML,2013,1,74,0.013513513513513514
Games & Mechanism Design,Decision Making,2013,1,74,0.013513513513513514
Generative Models & Diffusion,Generative AI,2013,1,74,0.013513513513513514
Graph Machine Learning,Structured Learning,2013,2,74,0.02702702702702703
Language Models & NLP,Generative AI,2013,1,74,0.013513513513513514
Optimization & Learning Theory,Core ML,2013,12,74,0.16216216216216217
Probabilistic Modeling,Core ML,2013,18,74,0.24324324324324326
Reinforcement Learning & Bandits,Decision Making,2013,7,74,0.0945945945945946
Representation Learning,Foundation Learning,2013,5,74,0.06756756756756757
"Robustness, Privacy & Safety",Trustworthy AI,2013,5,74,0.06756756756756757
"Causality, Dynamics & Scientific ML",Scientific ML,2014,2,88,0.022727272727272728
Classical Statistical ML,Core ML,2014,18,88,0.20454545454545456
Computer Vision & 3D Perception,Perception,2014,3,88,0.03409090909090909
Federated & Distributed Learning,Systems for ML,2014,4,88,0.045454545454545456
Generative Models & Diffusion,Generative AI,2014,2,88,0.022727272727272728
Graph Machine Learning,Structured Learning,2014,3,88,0.03409090909090909
Optimization & Learning Theory,Core ML,2014,11,88,0.125
Probabilistic Modeling,Core ML,2014,23,88,0.26136363636363635
Reinforcement Learning & Bandits,Decision Making,2014,8,88,0.09090909090909091
Representation Learning,Foundation Learning,2014,10,88,0.11363636363636363
"Robustness, Privacy & Safety",Trustworthy AI,2014,4,88,0.045454545454545456
"Causality, Dynamics & Scientific ML",Scientific ML,2015,4,93,0.043010752688172046
Classical Statistical ML,Core ML,2015,22,93,0.23655913978494625
Computer Vision & 3D Perception,Perception,2015,5,93,0.053763440860215055
Federated & Distributed Learning,Systems for ML,2015,1,93,0.010752688172043012
Games & Mechanism Design,Decision Making,2015,1,93,0.010752688172043012
Generative Models & Diffusion,Generative AI,2015,4,93,0.043010752688172046
Graph Machine Learning,Structured Learning,2015,3,93,0.03225806451612903
Language Models & NLP,Generative AI,2015,2,93,0.021505376344086023
Multimodal & Vision-Language,Perception,2015,1,93,0.010752688172043012
Optimization & Learning Theory,Core ML,2015,19,93,0.20430107526881722
Probabilistic Modeling,Core ML,2015,17,93,0.1827956989247312
Reinforcement Learning & Bandits,Decision Making,2015,4,93,0.043010752688172046
Representation Learning,Foundation Learning,2015,8,93,0.08602150537634409
"Robustness, Privacy & Safety",Trustworthy AI,2015,2,93,0.021505376344086023
"Biology, Molecules & Health",AI for Science,2016,2,102,0.0196078431372549
"Causality, Dynamics & Scientific ML",Scientific ML,2016,5,102,0.049019607843137254
Classical Statistical ML,Core ML,2016,15,102,0.14705882352941177
Computer Vision & 3D Perception,Perception,2016,3,102,0.029411764705882353
Federated & Distributed Learning,Systems for ML,2016,2,102,0.0196078431372549
Generative Models & Diffusion,Generative AI,2016,2,102,0.0196078431372549
Graph Machine Learning,Structured Learning,2016,2,102,0.0196078431372549
Language Models & NLP,Generative AI,2016,7,102,0.06862745098039216
Optimization & Learning Theory,Core ML,2016,21,102,0.20588235294117646
Probabilistic Modeling,Core ML,2016,25,102,0.24509803921568626
Reinforcement Learning & Bandits,Decision Making,2016,8,102,0.0784313725490196
Representation Learning,Foundation Learning,2016,7,102,0.06862745098039216
"Robustness, Privacy & Safety",Trustworthy AI,2016,3,102,0.029411764705882353
"Biology, Molecules & Health",AI for Science,2017,1,125,0.008
"Causality, Dynamics & Scientific ML",Scientific ML,2017,3,125,0.024
Classical Statistical ML,Core ML,2017,14,125,0.112
Computer Vision & 3D Perception,Perception,2017,7,125,0.056
Federated & Distributed Learning,Systems for ML,2017,3,125,0.024
Games & Mechanism Design,Decision Making,2017,2,125,0.016
Generative Models & Diffusion,Generative AI,2017,9,125,0.072
Graph Machine Learning,Structured Learning,2017,6,125,0.048
Language Models & NLP,Generative AI,2017,9,125,0.072
Multimodal & Vision-Language,Perception,2017,2,125,0.016
Optimization & Learning Theory,Core ML,2017,21,125,0.168
Probabilistic Modeling,Core ML,2017,17,125,0.136
Reinforcement Learning & Bandits,Decision Making,2017,11,125,0.088
