paper_id,title,year,venue,authors,dblp_url,doi
neurips_2010_0002,A Computational Decision Theory for Interactive Assistants.,2010,NeurIPS,Alan Fern; Prasad Tadepalli,https://dblp.org/rec/conf/nips/FernT10,
neurips_2010_0003,A VLSI Implementation of the Adaptive Exponential Integrate-and-Fire Neuron Model.,2010,NeurIPS,Sebastian Millner; Andreas Grbl; Karlheinz Meier; Johannes Schemmel; Marc-Olivier Schwartz,https://dblp.org/rec/conf/nips/MillnerGMSS10,
neurips_2010_0005,Adaptive Multi-Task Lasso: with Application to eQTL Detection.,2010,NeurIPS,Seunghak Lee; Jun Zhu 0001; Eric P. Xing,https://dblp.org/rec/conf/nips/LeeZX10,
neurips_2010_0006,An Alternative to Low-level-Sychrony-Based Methods for Speech Detection.,2010,NeurIPS,Paul Ruvolo; Javier R. Movellan,https://dblp.org/rec/conf/nips/RuvoloM10,
neurips_2010_0010,Construction of Dependent Dirichlet Processes based on Poisson Processes.,2010,NeurIPS,Dahua Lin; Eric Grimson; John W. Fisher III,https://dblp.org/rec/conf/nips/LinGF10,
neurips_2010_0014,Double Q-learning.,2010,NeurIPS,Hado van Hasselt,https://dblp.org/rec/conf/nips/Hasselt10,
neurips_2010_0015,Empirical Bernstein Inequalities for U-Statistics.,2010,NeurIPS,Thomas Peel; Sandrine Anthoine; Liva Ralaivola,https://dblp.org/rec/conf/nips/PeelAR10,
neurips_2010_0019,Fast Large-scale Mixture Modeling with Component-specific Data Partitions.,2010,NeurIPS,Bo Thiesson; Chong Wang 0002,https://dblp.org/rec/conf/nips/ThiessonW10,
neurips_2010_0021,Generalized roof duality and bisubmodular functions.,2010,NeurIPS,Vladimir Kolmogorov,https://dblp.org/rec/conf/nips/Kolmogorov10,
neurips_2010_0022,Getting lost in space: Large sample analysis of the resistance distance.,2010,NeurIPS,Ulrike von Luxburg; Agnes Radl; Matthias Hein 0001,https://dblp.org/rec/conf/nips/LuxburgRH10,
neurips_2010_0025,Heavy-Tailed Process Priors for Selective Shrinkage.,2010,NeurIPS,Fabian L. Wauthier; Michael I. Jordan,https://dblp.org/rec/conf/nips/WauthierJ10,
neurips_2010_0035,Linear readout from a neural population with partial correlation data.,2010,NeurIPS,Adrien Wohrer; Ranulfo Romo; Christian K. Machens,https://dblp.org/rec/conf/nips/WohrerRM10,
neurips_2010_0045,Predictive State Temporal Difference Learning.,2010,NeurIPS,Byron Boots; Geoffrey J. Gordon,https://dblp.org/rec/conf/nips/BootsG10,
neurips_2010_0046,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach.,2010,NeurIPS,Ning Chen 0002; Jun Zhu 0001; Eric P. Xing,https://dblp.org/rec/conf/nips/ChenZX10,
neurips_2010_0047,Random Conic Pursuit for Semidefinite Programming.,2010,NeurIPS,Ariel Kleiner; Ali Rahimi; Michael I. Jordan,https://dblp.org/rec/conf/nips/KleinerRJ10,
neurips_2010_0052,Sodium entry efficiency during action potentials: A novel single-parameter family of Hodgkin-Huxley models.,2010,NeurIPS,Anand Singh; Renaud Jolivet; Pierre J. Magistretti; Bruno Weber,https://dblp.org/rec/conf/nips/SinghJMW10,
neurips_2010_0056,Spike timing-dependent plasticity as dynamic filter.,2010,NeurIPS,Joscha Schmiedt; Christian Albers; Klaus Pawelzik,https://dblp.org/rec/conf/nips/SchmiedtAP10,
neurips_2010_0058,Subgraph Detection Using Eigenvector L1 Norms.,2010,NeurIPS,Benjamin A. Miller; Nadya T. Bliss; Patrick J. Wolfe,https://dblp.org/rec/conf/nips/MillerBW10,
neurips_2010_0060,The Multidimensional Wisdom of Crowds.,2010,NeurIPS,Peter Welinder; Steve Branson; Serge J. Belongie; Pietro Perona,https://dblp.org/rec/conf/nips/WelinderBBP10,
neurips_2010_0062,Variable margin losses for classifier design.,2010,NeurIPS,Hamed Masnadi-Shirazi; Nuno Vasconcelos,https://dblp.org/rec/conf/nips/Masnadi-ShiraziV10,
neurips_2010_0064,Why are some word orders more common than others? A uniform information density account.,2010,NeurIPS,Luke Maurits; Daniel J. Navarro; Amy Perfors,https://dblp.org/rec/conf/nips/MauritsNP10,
neurips_2010_0065,b-Bit Minwise Hashing for Estimating Three-Way Similarities.,2010,NeurIPS,Ping Li 0001; Arnd Christian Knig; Wenhao Gui,https://dblp.org/rec/conf/nips/LiKG10,
neurips_2011_0001,A Comparative Study of Algorithms for Intra- and Inter-subjects fMRI Decoding.,2011,NeurIPS,Vincent Michel; Alexandre Gramfort; Evelyn Eger; Gal Varoquaux; Bertrand Thirion,https://dblp.org/rec/conf/nips/MichelGEVT11,10.1007/978-3-642-34713-9_1
neurips_2011_0006,Active Ranking using Pairwise Comparisons.,2011,NeurIPS,Kevin G. Jamieson; Robert D. Nowak,https://dblp.org/rec/conf/nips/JamiesonN11,
neurips_2011_0007,Adaptive Hedge.,2011,NeurIPS,Tim van Erven; Peter Grunwald; Wouter M. Koolen; Steven de Rooij,https://dblp.org/rec/conf/nips/ErvenGKR11,
neurips_2011_0008,Algorithms and hardness results for parallel large margin learning.,2011,NeurIPS,Rocco A. Servedio; Philip M. Long,https://dblp.org/rec/conf/nips/ServedioL11,
neurips_2011_0009,Automated Refinement of Bayes Networks' Parameters based on Test Ordering Constraints.,2011,NeurIPS,Omar Zia Khan; Pascal Poupart; John Mark Agosta,https://dblp.org/rec/conf/nips/KhanPA11,
neurips_2011_0010,Better Mini-Batch Algorithms via Accelerated Gradient Methods.,2011,NeurIPS,Andrew Cotter; Ohad Shamir; Nati Srebro; Karthik Sridharan,https://dblp.org/rec/conf/nips/CotterSSS11,
neurips_2011_0017,Efficient Methods for Overlapping Group Lasso.,2011,NeurIPS,Lei Yuan 0001; Jun Liu 0003; Jieping Ye,https://dblp.org/rec/conf/nips/YuanLY11,
neurips_2011_0019,Generalized Beta Mixtures of Gaussians.,2011,NeurIPS,Artin Armagan; David B. Dunson; Merlise A. Clyde,https://dblp.org/rec/conf/nips/ArmaganDC11,
neurips_2011_0023,Improving Topic Coherence with Regularized Topic Models.,2011,NeurIPS,David Newman; Edwin V. Bonilla; Wray L. Buntine,https://dblp.org/rec/conf/nips/NewmanBB11,
neurips_2011_0024,Inductive reasoning about chimeric creatures.,2011,NeurIPS,Charles Kemp,https://dblp.org/rec/conf/nips/Kemp11,
neurips_2011_0025,Inferring spike-timing-dependent plasticity from spike train data.,2011,NeurIPS,Ian H. Stevenson; Konrad P. Krding,https://dblp.org/rec/conf/nips/StevensonK11,
neurips_2011_0029,Learning person-object interactions for action recognition in still images.,2011,NeurIPS,Vincent Delaitre; Josef Sivic; Ivan Laptev,https://dblp.org/rec/conf/nips/DelaitreSL11,
neurips_2011_0030,Learning unbelievable probabilities.,2011,NeurIPS,Xaq Pitkow; Yashar Ahmadian; Kenneth D. Miller,https://dblp.org/rec/conf/nips/PitkowAM11,
neurips_2011_0033,Multiple Instance Filtering.,2011,NeurIPS,Kamil Wnuk; Stefano Soatto,https://dblp.org/rec/conf/nips/WnukS11,
neurips_2011_0038,On the Analysis of Multi-Channel Neural Spike Data.,2011,NeurIPS,Bo Chen 0001; David E. Carlson; Lawrence Carin,https://dblp.org/rec/conf/nips/ChenCC11,
neurips_2011_0040,On the accuracy of l1-filtering of signals with block-sparse structure.,2011,NeurIPS,Anatoli Iouditski; Fatma Kilin-Karzan; Arkadi Nemirovski; Boris T. Polyak,https://dblp.org/rec/conf/nips/IouditskiKNP11,
neurips_2011_0046,Predicting Dynamic Difficulty.,2011,NeurIPS,Olana Missura; Thomas Grtner 0001,https://dblp.org/rec/conf/nips/MissuraG11,
neurips_2011_0047,Prediction strategies without loss.,2011,NeurIPS,Michael Kapralov; Rina Panigrahy,https://dblp.org/rec/conf/nips/KapralovP11,
neurips_2011_0051,Randomized Algorithms for Comparison-based Search.,2011,NeurIPS,Dominique Tschopp; Suhas N. Diggavi; Payam Delgosha; Soheil Mohajer,https://dblp.org/rec/conf/nips/TschoppDDM11,
neurips_2011_0052,Recovering Intrinsic Images with a Global Sparsity Prior on Reflectance.,2011,NeurIPS,Peter V. Gehler; Carsten Rother; Martin Kiefel; Lumin Zhang; Bernhard Schlkopf,https://dblp.org/rec/conf/nips/GehlerRKZS11,
neurips_2011_0057,Solving Decision Problems with Limited Information.,2011,NeurIPS,Denis Deratani Mau; Cassio Polpo de Campos,https://dblp.org/rec/conf/nips/MauaC11,
neurips_2011_0059,Statistical Learning for Resting-State fMRI: Successes and Challenges.,2011,NeurIPS,Gal Varoquaux; Bertrand Thirion,https://dblp.org/rec/conf/nips/VaroquauxT11,10.1007/978-3-642-34713-9_22
neurips_2011_0064,The Manifold Tangent Classifier.,2011,NeurIPS,Salah Rifai; Yann N. Dauphin; Pascal Vincent; Yoshua Bengio; Xavier Muller,https://dblp.org/rec/conf/nips/RifaiDVBM11,
neurips_2011_0068,Why The Brain Separates Face Recognition From Object Recognition.,2011,NeurIPS,Joel Z. Leibo; Jim Mutch; Tomaso A. Poggio,https://dblp.org/rec/conf/nips/LeiboMP11,
neurips_2012_0001,"""Natural Images, Gaussian Mixtures and Dead Leaves"".",2012,NeurIPS,Daniel Zoran; Yair Weiss,https://dblp.org/rec/conf/nips/ZoranW12,
